A_trial_length,A_reliability,B_trial_length,B_reliability,C_trial_length,C_reliability,D_trial_length,D_reliability,E_trial_length,E_reliability,F_trial_length,F_reliability
20,0.87,17,0.68,37,0.92,38,0.98,31,0.9,48,0.75
20,0.68,22,0.81,28,0.83,40,1,30,0.82,64,0.93
20,0.89,35,0.8,44,0.94,27,0.77,38,0.97,55,0.76
20,0.77,25,0.77,48,0.98,25,0.73,35,0.94,50,0.74
20,0.7,19,0.65,31,0.75,24,0.74,40,1,49,0.7
20,0.85,30,0.85,30,0.72,33,0.85,38,0.98,58,0.86
20,0.88,20,0.69,33,0.78,37,0.89,32,0.91,48,0.74
20,0.9,22,0.8,37,0.8,35,0.86,23,0.7,54,0.76
20,0.9,19,0.71,45,0.94,39,0.9,35,0.88,68,0.98
20,0.69,37,0.74,38,0.78,35,0.91,30,0.8,62,0.84
20,0.71,27,0.73,26,0.71,26,0.68,28,0.74,57,0.7
20,0.82,21,0.69,28,0.74,22,0.66,33,0.85,64,0.94
20,0.85,33,0.67,50,1,36,0.87,25,0.72,52,0.72
20,0.77,25,0.66,30,0.7,35,0.88,40,1,51,0.72
20,0.76,28,0.7,37,0.75,39,0.94,29,0.77,70,1
20,0.77,26,0.86,36,0.77,23,0.77,31,0.82,49,0.69
20,0.92,33,0.81,26,0.68,22,0.75,37,0.96,53,0.75
20,0.69,25,0.7,23,0.66,37,0.94,30,0.91,50,0.7
20,0.7,30,0.93,23,0.69,40,1,25,0.79,52,0.76
20,0.71,28,0.83,27,0.69,33,0.9,28,0.83,59,0.82
20,0.75,30,0.94,40,0.85,31,0.88,27,0.83,61,0.93
20,0.83,24,0.88,42,0.89,35,0.92,38,0.98,67,0.97
20,0.68,25,0.74,47,0.96,35,0.93,35,0.94,69,0.98
20,0.91,40,1,35,0.78,40,1,39,0.99,53,0.89
20,0.83,28,0.79,31,0.78,38,0.97,31,0.83,57,0.89
20,0.85,22,0.68,32,0.79,28,0.75,39,0.99,54,0.85
20,0.81,32,0.76,50,1,25,0.7,26,0.78,52,0.83
20,0.8,31,0.77,32,0.83,34,0.86,32,0.71,68,0.97
20,0.81,28,0.74,39,0.89,31,0.82,36,0.94,58,0.9
20,0.88,20,0.69,45,0.94,30,0.82,33,0.9,62,0.92
20,0.9,37,0.96,46,0.98,35,0.88,36,0.96,60,0.91
20,0.87,21,0.79,42,0.89,34,0.84,35,0.93,65,0.95
20,0.84,40,1,38,0.86,34,0.9,34,0.95,65,0.96
20,0.76,25,0.82,40,0.91,37,0.96,37,0.97,68,0.98
